taxid	kingdom	phylum	class	order	family	genus	species	species_epithet	species_short	scientificName	currentName	identifiedBy	recordedBy	recordNumber	year	country	department	locality details	source	notes
114778	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Hexagonia	Hexagonia sp.	sp.	Hexagonia sp.	Hexagonia	Hexagonia sp.		"Peck, M. E."		1906	Honduras			Mycoportal	
114823	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Hapalopilus	Hapalopilus sp.	sp.	Hapalopilus sp.	Hapalopilus	Hapalopilus sp.		"Peck, M. E."		1906	Honduras			Mycoportal	
182043	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Anthracophyllum	Anthracophyllum viticola	viticola	A. viticola	Anthracophyllum viticola	Anthracophyllum viticola		"Peck, M. E."		1906	Honduras			Mycoportal	
205774	Fungi	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Lachnocladium	Lachnocladium sp.	sp.	Lachnocladium sp.	Lachnocladium	Lachnocladium sp.		"Peck, M. E."	MEP-C1484	1906	Honduras			Mycoportal	
1755788	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Nigrofomitaceae	Nigrofomes	Nigrofomes melanoporus	melanoporus	N. melanoporus	Nigrofomes melanoporus	Nigrofomes melanoporus		"Peck, M. E."		1906	Honduras			Mycoportal	
1871912	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes dictyopus	dictyopus	P. dictyopus	Polyporus diabolicus	Picipes dictyopus	"Murrill, W. A."	"Peck, M. E."		1906	Honduras			Mycoportal	
2831953	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Vitreoporus	Vitreoporus dichrous	dichrous	V. dichrous	Gloeoporus candidus	Vitreoporus dichrous		"Peck, M. E."		1907	Honduras			Mycoportal	
83257	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporales family incertae sedis	Diplomitoporus	Diplomitoporus hondurensis	hondurensis	D. hondurensis	Poria hondurensis	Diplomitoporus hondurensis				1907	Honduras			Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma nitidum	nitidum	G. nitidum	Ganoderma nitidum	Ganoderma nitidum		"Peck, M. E."		1907	Honduras			Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma stipitatum	stipitatum	G. stipitatum	Ganoderma stipitatum	Ganoderma stipitatum		"Peck, M. E."		1907	Honduras			Mycoportal	
5637	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus leprieurii	leprieurii	P. leprieurii	Polyporus leprieurii	Polyporus leprieurii		"Peck, M. E."		1907	Honduras			Mycoportal	
81053	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus lineatus	lineatus	R. lineatus	Rigidoporus lineatus	Rigidoporus lineatus		"Peck, M. E."		1907	Honduras			Mycoportal	
81053	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus lineatus	lineatus	R. lineatus	Rigidoporus lineatus	Rigidoporus lineatus		"Peck, M. E."		1907	Honduras			Mycoportal	
81053	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus microporus	microporus	R. microporus	Rigidoporus microporus	Rigidoporus microporus		"Peck, M. E."		1907	Honduras			Mycoportal	
